Hidden Activation Functions,Hidden Derivatives,Output Activation Function,Cost Function,Cost Derivative,Accuracy (%)
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",sigmoid,MSE,MSE_derivative,95.6140350877193
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",sigmoid,MSE,MSE_derivative,98.24561403508771
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",softmax,MSE,MSE_derivative,37.719298245614034
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",ReLU,MSE,MSE_derivative,94.73684210526315
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,MSE_derivative,98.24561403508771
"['softmax', 'softmax']","['<lambda>', '<lambda>']",sigmoid,MSE,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",softmax,MSE,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",ReLU,MSE,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,MSE_derivative,98.24561403508771
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,MSE_derivative,96.49122807017544
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",sigmoid,MSE,MSE_derivative,97.36842105263158
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",softmax,MSE,MSE_derivative,37.719298245614034
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",ReLU,MSE,MSE_derivative,93.85964912280701
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,MSE_derivative,96.49122807017544
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",sigmoid,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",softmax,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",sigmoid,MSE,MSE_derivative,62.28070175438597
