,Optimizer:,lambda,gamma,learning_rate,accuracy
0,Adagrad,0.0,0.0,,0.8187134502923976
1,RMSprop,0.0,0.0,,0.7426900584795322
2,Adam,0.0,0.0,,0.8128654970760234
3,Adagrad,0.0,0.0,0.0001,0.9239766081871345
4,RMSprop,0.0,0.0,0.0001,0.8654970760233918
5,Adam,0.0,0.0,0.0001,0.8596491228070176
6,Adagrad,0.0,0.0,0.001,0.9239766081871345
7,RMSprop,0.0,0.0,0.001,0.8596491228070176
8,Adam,0.0,0.0,0.001,0.7777777777777778
9,Adagrad,0.0,0.0,0.01,0.7953216374269005
10,RMSprop,0.0,0.0,0.01,0.7134502923976608
11,Adam,0.0,0.0,0.01,0.8070175438596491
12,Adagrad,0.0,0.0,0.1,0.8128654970760234
13,RMSprop,0.0,0.0,0.1,0.8070175438596491
14,Adam,0.0,0.0,0.1,0.8245614035087719
15,Adagrad,0.0,0.0,1.0,0.8187134502923976
16,RMSprop,0.0,0.0,1.0,0.8187134502923976
17,Adam,0.0,0.0,1.0,0.8654970760233918
18,Adagrad,0.0,0.0001,,0.8187134502923976
19,RMSprop,0.0,0.0001,,0.7485380116959064
20,Adam,0.0,0.0001,,0.8128654970760234
21,Adagrad,0.0,0.0001,0.0001,0.9239766081871345
22,RMSprop,0.0,0.0001,0.0001,0.8654970760233918
23,Adam,0.0,0.0001,0.0001,0.8596491228070176
24,Adagrad,0.0,0.0001,0.001,0.9239766081871345
25,RMSprop,0.0,0.0001,0.001,0.8596491228070176
26,Adam,0.0,0.0001,0.001,0.7777777777777778
27,Adagrad,0.0,0.0001,0.01,0.7953216374269005
28,RMSprop,0.0,0.0001,0.01,0.7134502923976608
29,Adam,0.0,0.0001,0.01,0.8070175438596491
30,Adagrad,0.0,0.0001,0.1,0.8128654970760234
31,RMSprop,0.0,0.0001,0.1,0.7953216374269005
32,Adam,0.0,0.0001,0.1,0.8245614035087719
33,Adagrad,0.0,0.0001,1.0,0.8187134502923976
34,RMSprop,0.0,0.0001,1.0,0.8187134502923976
35,Adam,0.0,0.0001,1.0,0.8654970760233918
36,Adagrad,0.0,0.001,,0.8187134502923976
37,RMSprop,0.0,0.001,,0.7602339181286549
38,Adam,0.0,0.001,,0.8128654970760234
39,Adagrad,0.0,0.001,0.0001,0.9239766081871345
40,RMSprop,0.0,0.001,0.0001,0.8596491228070176
41,Adam,0.0,0.001,0.0001,0.8596491228070176
42,Adagrad,0.0,0.001,0.001,0.9239766081871345
43,RMSprop,0.0,0.001,0.001,0.8654970760233918
44,Adam,0.0,0.001,0.001,0.7777777777777778
45,Adagrad,0.0,0.001,0.01,0.7953216374269005
46,RMSprop,0.0,0.001,0.01,0.7192982456140351
47,Adam,0.0,0.001,0.01,0.8070175438596491
48,Adagrad,0.0,0.001,0.1,0.8128654970760234
49,RMSprop,0.0,0.001,0.1,0.7719298245614035
50,Adam,0.0,0.001,0.1,0.8245614035087719
51,Adagrad,0.0,0.001,1.0,0.8187134502923976
52,RMSprop,0.0,0.001,1.0,0.8128654970760234
53,Adam,0.0,0.001,1.0,0.8654970760233918
54,Adagrad,0.0,0.01,,0.8187134502923976
55,RMSprop,0.0,0.01,,0.7192982456140351
56,Adam,0.0,0.01,,0.8128654970760234
57,Adagrad,0.0,0.01,0.0001,0.9239766081871345
58,RMSprop,0.0,0.01,0.0001,0.8596491228070176
59,Adam,0.0,0.01,0.0001,0.8654970760233918
60,Adagrad,0.0,0.01,0.001,0.9239766081871345
61,RMSprop,0.0,0.01,0.001,0.8654970760233918
62,Adam,0.0,0.01,0.001,0.8011695906432749
63,Adagrad,0.0,0.01,0.01,0.7953216374269005
64,RMSprop,0.0,0.01,0.01,0.8128654970760234
65,Adam,0.0,0.01,0.01,0.8128654970760234
66,Adagrad,0.0,0.01,0.1,0.8128654970760234
67,RMSprop,0.0,0.01,0.1,0.7543859649122807
68,Adam,0.0,0.01,0.1,0.8245614035087719
69,Adagrad,0.0,0.01,1.0,0.8187134502923976
70,RMSprop,0.0,0.01,1.0,0.8011695906432749
71,Adam,0.0,0.01,1.0,0.8128654970760234
72,Adagrad,0.0,0.1,,0.8187134502923976
73,RMSprop,0.0,0.1,,0.8128654970760234
74,Adam,0.0,0.1,,0.8128654970760234
75,Adagrad,0.0,0.1,0.0001,0.9239766081871345
76,RMSprop,0.0,0.1,0.0001,0.8596491228070176
77,Adam,0.0,0.1,0.0001,0.7894736842105263
